1,Alap-alap (burung),Accipiter virgatus
2,Alap-alap (kelelawar),Machairamphus aleinus
3,Alap-alap Madu,Pernis ptilorhynchus
4,Alap-alap Sapi,Falco moluccensis
5,Alap-alap Sikra,Accipiter badius
6,Alap-alap putih,Elanus caerulleus
7,Alap-alap tikus,Elanus hypoleucus
8,Angsa hitam,Cygnus atratus
9,Angsa putih,Cygnus olor
10,Angsa,Cygnus cygnus
11,Anjing laut,Monachus monachus
12,Anjing rakun,Nyctctereutes procycnoides
13,Anjing,Canis lupus
14,Anoa,Anoa depressicornis
15,Anoa pegunungan,Anoa quarlesi
16,Aus (Laba-Laba Berbahaya),Atraax robustrus
17,Ayam buras,Gallus domesticus
18,Ayam,Gallus gallus
19,Ayam hutan hijau,Gallus varius
20,Ayam hutan kelabu,Gallus sonneratii
21,Ayam hutan merah,Gallus gallus
22,Ayam hutan Srilanka,Gallus lafayetii
23,Arowana Irian,Scleropages jardini
24,Akar bahar,Euplexaura Anthiphates
25,Ajag,Cuon alpinus
26,Binturung,Arctictis binturong
27,Babirusa,Babyrousa babyrussa
28,Paus biru,Balaenoptera musculus
29,Paus bersirip,Balaenoptera physalus
30,Banteng,Bos sondaicus
31,Babi Hutan,Sus scrofa vittatus
32,Babi,Artamus leucorynchus
33,Badak bercula satu,Rhinoceros sundaicus
34,Badak hitam Afrika,Diceros bicornis longipes
35,Badak hitam,Diceros bicornis
36,Badak putih,Cerathoterium simum
37,Badak,Rhinoceros sonaicus
38,Badak sumatera,Dicerorhinus sumatrensis
39,Bajing Hutan,Callosciurus nigrevitatus
40,Bajing Kelapa,Calosciurus notatus
41,Bajing Tanah,Lariscus insignus
42,Bajing Terbang,Petaurista elegants
43,Bangau Hitam,Ciconia episcopus
44,Bangau Tongtong,Leptiptolus javanicus
45,Bangkong,Bufo melanostictus
46,Banteng,Bos sondaicus
47,Bekantan,Nasalis larvatus
48,Bekicot,Achatina fulica
49,Beo,Gracula religiosa
50,Beruang coklat,Ursus arctos
51,Beruang adu,Helarctos malayanus
52,Beruang hitam,Ursus thibetanus
53,Beruang kutub,Ursus maritimus
54,Beruk Mentawai,Mentawai Macaca pagensis
55,Betet coklat,Lanius cristatus
56,Betet Kelapa,Tanygnathus sumatranus
57,Betet,Psittacula alexandri
58,Biawak coklat,Varanus gouldii
59,Biawak Kuning,Varanus flvescers
60,Biawak,Varanus salvator
61,Binatang Hantu,Tarsius spectrum
62,Bintang Laut Biru,Linchia laevigata
63,Bintang Laut Lengan Pendek,Culcita sp.
64,Bintang Laut Merah,Asteria forbesi
65,Bintang Ular Laut,Ophiothrix flagilis
66,Bintang Ular,Ophiopholis aculeate
67,Binturung,Arsctictis binturong
68,Biuku,Batagur baska
69,Bluwok Berwarna,Ibis leucocephalus
70,Bluwok Putih,Nycteria cinerea
71,Boti (Kera Tonkean),Macaca tonkeana
72,Buaya air tawar Irian,Crocodylus novaeguineae
73,Buaya muara,Crocodylus porosus
74,Buaya Air Tawar,Crocodylus siamensis
75,Buaya Asia,Crocodylus porrosus
76,Buaya Caiman,Caiman crocodilus
77,Buaya Misisipi,Alligator mississippiensis
78,Buaya Nil,Crocodylus nilotus
79,Buaya Senyulang,Tomistoma schlegeii
80,Bulu Babi Duri Panjang,Diadema saxatile
81,Bulu Babi Duri Pendek,Echinus sechulenthus
82,Bunglon,Calotus jubatus
83,Burung alap-alap,Accipitridae
84,Burung Betet,Psittacula alexandri
85,Burung Elang,Haliastus indus
86,Burung gereja,Passer montanus
87,Burung Gosong,Megapodius reinwardti
88,Burung Jalak,Sturnus contra
89,Burung Kipas,Rhipidura javanica
90,Burung Kuntul,Nycticorax nycticorax
91,Burung Madu,Aethopyga malarensis
92,Burung Madu kelapa,Aethopyga eximia
93,Burung Madu,Nectarinia sperata
94,Burung Madu Sepah Raja,Aetophyga siparaja
95,Burung Madu Sriganti,Nectarinia jugularis
96,Burung onta,Rhea americana
97,Burung Pelikan,Pelecanus roseusroseus
98,Burung Perkutut,Gleopelia striata
99,Burung Pungguk,Ninox sculata
100,Burung Puyuh,Turix suscitator
101,Burung Rangkong,Bucerotidae
102,Burung Tilil,Tlinga glareola
103,Burung Unta,Struthia camelus
104,Burung gosong,Megapodius reintwardtii
105,Burung kipas biru,Musciscapa ruecki
106,Bangau putih susu,Bluwok Mycteria cinerea
107,Burung Kasturi raja,Psittrichas fulgidus
108,Burung kipas perut putih,Rhipidura euryura
109,Burung kipas,Rhipidura javanica
110,Burung kipas ekor merah,Rhipidura phoenicura
111,Burung tepus dada putih,Satchyris grammiceps
112,Burung tepus pipi perak,Satchyris melanothorax
113,Burung Dara laut berjambul,Sterna zimmermanni
114,Burung Jalak putih,Sturnus melanopterus
115,Burung maleo,Macrocephalon maleo
116,Burung hantu Biak,Otus migicus beccarii
117,Burung merak,Pavo muticus
118,Bluwok, Walangkadak,Ibis cinereus
119,Bluwok berwarna Ibis,Ibis leucocephala
120,Blekek Asia,Limnodromus semipalmatus
121,Beleang ekor putih,Lophura bulweri
122,Bunglon sisir,Gonychephalus dilophus
123,Boa,Boa contrictor
124,Bajing terbang ekor merah,Iomys horsfieldi
125,Bajing tanah bergaris,Lariscus hosei
126,Bajing tanah, Tupai tanah,Lariscus insignis
127,Burung gunting,Fregeta andrewsi
128,Burung kuda,Garrulax rufifrons
129,Beo Flores,Gracula religiosa mertensi
130,Beo Nias,Gracula religiosa robusta
131,Beo Sumbawa,Gracula religiosa venerata
132,Bangau hitam,Ciconia episcopus
133,Burung sohabe coklat,Colluricincla megarhyncha
134,Burung matahari,Crocias albonotatus
135,Belut ,Monopterus albus
136,Cacing pita (Babi),Taenia solium
137,Cacing pita (sapi),Taenia saginata
138,Cacing Gajah,Wucherenia bancrofti
139,Cacing Hati,Fasciola hepatica
140,Cacing Kremi,Oxyuris vermacularis
141,Cacing Palolo,Eunice viridis
142,Cacing gelang,Ascaris lumbricoides
143,Cacing Sondari,Pheretima musica
144,Cacing Tambang,Ancylostoma duodenale
145,Cacing Wawo,Wawo Lysidicea oele
146,Camar,Larus Sp.
147,Caplak Anjing,Rhipicephalus sanguinis
148,Caplak Kerbau,Boophilus microplus
149,Caplak Ternak,Boophilus annulatus
